episode,train goal?,train time (ms),train reward,train step,val goal?,val reward,val step
1,yes,816.5989999979502,-1769.055999999847,9818,,-12495.005000000001,12500
2,yes,411.7119999937131,-1030.396999999913,5424,,-12498.002,12500
3,yes,278.31000000151107,-637.4179999999724,3054,,-12498.002,12500
4,yes,75.88299999770243,-206.7300000000015,937,,-12498.002,12500
5,,840.1559999983874,-2371.1390000000547,12500,,-12.499999999998511,12500
6,yes,522.1560000063619,-1429.65699999989,7082,,-12.499999999998511,12500
7,yes,515.0060000014491,-1340.8669999999122,6204,,-12.499999999998511,12500
8,yes,307.16499999834923,-794.5949999999494,4387,,-12.499999999998511,12500
9,yes,221.06799999892246,-505.40999999997587,2914,,-12.499999999998511,12500
10,yes,415.9720000025118,-1047.9619999999113,6006,,-12.499999999998511,12500
11,yes,527.6130000056583,-1670.7759999999214,6443,,-12.499999999998511,12500
12,,962.8079999965848,-2396.1140000000705,12500,,-12.499999999998511,12500
13,yes,201.63599999796133,-688.354999999962,3042,,-12.499999999998511,12500
14,,948.949999998149,-2208.301999999947,12500,,-12.499999999998511,12500
15,yes,149.5500000019092,-384.5939999999937,1978,,-12.499999999998511,12500
16,yes,421.8399999954272,-1427.3479999998838,6771,,-12.499999999998511,12500
17,yes,682.1860000054585,-2070.9059999998417,9970,,-12.499999999998511,12500
18,yes,220.88000000076136,-690.3639999999639,3053,,-12.499999999998511,12500
19,,871.2020000020857,-2640.8690000002534,12500,,-12.499999999998511,12500
20,,919.5330000002286,-2549.9600000000946,12500,,-12.499999999998511,12500
21,,867.2509999960312,-2505.005000000159,12500,,-12.499999999998511,12500
22,yes,86.38700000301469,-134.7810000000021,916,,-12.499999999998511,12500
23,,945.4760000007809,-2386.1240000000844,12500,,-12.499999999998511,12500
24,yes,505.645999997796,-1429.644999999879,7070,,-12.499999999998511,12500
25,yes,606.9639999986975,-1417.1869999998696,7599,,-12.499999999998511,12500
26,yes,183.94399999669986,-398.04599999999505,2443,,-12.499999999998511,12500
27,,837.8930000035325,-2703.806000000402,12500,,-12.499999999998511,12500
28,,863.498000006075,-2685.824000000376,12500,,-12.499999999998511,12500
29,,947.1300000004703,-2143.366999999909,12500,,-12.499999999998511,12500
30,yes,341.25099999801023,-1255.9349999999426,4189,,-12.499999999998511,12500
31,yes,364.1849999985425,-1071.7319999999313,5800,,-12.499999999998511,12500
32,,908.8909999991301,-2492.0180000002742,12500,,-12.499999999998511,12500
33,yes,218.05500000482425,-576.057999999966,2633,,-12.499999999998511,12500
34,,991.3809999998193,-2374.136000000106,12500,,-12.499999999998511,12500
35,yes,122.17100000270875,-280.0140000000035,1294,,-12.499999999998511,12500
36,yes,361.68999999790685,-984.6069999999262,4589,,-12.499999999998511,12500
37,yes,481.67100000137,-1460.8149999999273,5273,,-12.499999999998511,12500
38,yes,584.5059999992372,-1500.774999999895,7271,,-12.499999999998511,12500
39,yes,630.7560000059311,-2024.8269999998704,7847,,-12.499999999998511,12500
40,yes,381.6189999997732,-836.8699999999262,4704,,-12.499999999998511,12500
41,,907.5670000020182,-2525.9840000002405,12500,,-12.499999999998511,12500
42,yes,443.9360000033048,-955.1579999999401,5110,,-12.499999999998511,12500
43,yes,346.4959999982966,-850.7239999999111,5571,,-12.499999999998511,12500
44,,896.8479999966803,-2842.6670000004087,12500,,-12.499999999998511,12500
45,yes,854.0549999961513,-2728.4720000003545,12192,,-12.499999999998511,12500
46,yes,495.10600000212435,-1415.2999999998658,7710,,-12.499999999998511,12500
47,,954.8409999988507,-2510.000000000334,12500,,-12.499999999998511,12500
48,,923.518999996304,-2691.8180000001885,12500,,-12.499999999998511,12500
49,,995.850999999675,-2660.849000000345,12500,,-12.499999999998511,12500
50,,987.5709999978426,-2324.186000000119,12500,,-12.499999999998511,12500
51,yes,388.8989999977639,-1221.9689999998998,6187,,-12.499999999998511,12500
52,,931.3480000055279,-2733.7760000003927,12500,,-12.499999999998511,12500
53,yes,114.3789999987348,-402.1079999999919,1510,,-12.499999999998511,12500
54,,889.4639999998617,-2349.1610000001037,12500,,-12.499999999998511,12500
55,yes,297.0809999969788,-867.8339999999421,3700,,-12.499999999998511,12500
56,,981.1029999982566,-2102.407999999904,12500,,-12.499999999998511,12500
57,yes,430.7669999980135,-1162.3629999999075,5522,,-12.499999999998511,12500
58,,908.1430000005639,-2111.398999999852,12500,,-12.499999999998511,12500
59,,753.4270000032848,-2487.0230000000993,12500,,-12.499999999998511,12500
60,,786.1550000015995,-2524.985000000341,12500,,-12.499999999998511,12500
61,yes,812.3300000006566,-2287.0170000000207,11296,,-12.499999999998511,12500
62,,951.8650000027264,-2307.203000000056,12500,,-12.499999999998511,12500
63,yes,231.69599999528145,-555.5499999999569,3104,,-12.499999999998511,12500
64,,858.3250000010594,-2486.024000000184,12500,,-12.499999999998511,12500
65,yes,787.2409999981755,-1759.6829999998388,10435,,-12.499999999998511,12500
66,yes,897.5219999992987,-2500.696000000233,10190,,-12.499999999998511,12500
67,yes,356.2369999999646,-928.9519999999393,4878,,-12.499999999998511,12500
68,,939.6909999995842,-2073.4369999998225,12500,,-12.499999999998511,12500
69,yes,173.32400000304915,-722.1729999999703,2894,,-12.499999999998511,12500
70,yes,1011.8720000027679,-2462.925000000153,12379,,-12.499999999998511,12500
71,yes,260.5000000039581,-485.8909999999787,3375,,-12.499999999998511,12500
72,yes,372.36899999697926,-1309.4929999999033,5799,,-12.499999999998511,12500
73,,906.4819999985048,-2587.9220000000905,12500,,-12.499999999998511,12500
74,yes,180.56800000340445,-755.2269999999589,2981,,-12.499999999998511,12500
75,yes,51.543000001402106,-87.55600000000055,644,,-12.499999999998511,12500
76,yes,467.876000002434,-924.2779999999423,5199,,-12.499999999998511,12500
77,yes,275.828999998339,-667.922999999959,3589,,-12.499999999998511,12500
78,,910.1179999997839,-2527.9820000001982,12500,,-12.499999999998511,12500
79,yes,543.7650000021677,-1614.9509999998756,7561,,-12.499999999998511,12500
80,yes,81.40899999852991,-248.88500000000312,1134,,-12.499999999998511,12500
81,yes,81.85399999638321,-122.7490000000017,872,,-12.499999999998511,12500
82,yes,713.7210000000778,-2041.0809999998237,10115,,-12.499999999998511,12500
83,yes,643.6390000017127,-2097.444999999884,9536,,-12.499999999998511,12500
84,yes,418.0290000003879,-934.4119999999464,4344,,-12.499999999998511,12500
85,,902.7480000004289,-2280.230000000025,12500,,-12.499999999998511,12500
86,yes,278.2999999981257,-635.7229999999644,3357,,-12.499999999998511,12500
87,yes,253.0960000003688,-596.3709999999733,2966,,-12.499999999998511,12500
88,yes,764.8189999963506,-2192.431999999938,11616,,-12.499999999998511,12500
89,,1014.3870000028983,-2691.818000000253,12500,,-12.499999999998511,12500
90,,948.1129999985569,-2960.5490000005384,12500,,-12.499999999998511,12500
91,yes,118.83400000078836,-452.32399999998586,1776,,-12.499999999998511,12500
92,,1001.2950000018463,-2380.1300000001556,12500,,-12.499999999998511,12500
93,,1008.2299999994575,-2407.1030000000173,12500,,-12.499999999998511,12500
94,,945.278999999573,-2793.7160000003005,12500,,-12.499999999998511,12500
95,yes,740.3740000008838,-1873.5949999998147,11460,,-12.499999999998511,12500
96,,1023.1090000015683,-2499.0110000003374,12500,,-12.499999999998511,12500
97,yes,1032.0500000016182,-2682.6720000001824,12346,,-12.499999999998511,12500
98,yes,214.07299999555107,-647.7829999999603,3429,,-12.499999999998511,12500
99,yes,151.9410000037169,-206.4000000000042,1606,,-12.499999999998511,12500
100,yes,494.97100000007777,-1791.0579999998693,7844,,-12.499999999998511,12500
101,yes,668.5690000012983,-1522.371999999878,7889,,-12.499999999998511,12500
102,yes,284.6629999985453,-1037.120999999938,4156,,-12.499999999998511,12500
103,yes,353.6020000028657,-802.6419999999443,4442,,-12.499999999998511,12500
