episode,train goal?,train time (ms),train reward,train step,val goal?,val reward,val step
1,,1465.026999998372,-2191.3190000000263,12500,,-12.499999999998511,12500
2,,1503.0189999961294,-1444.0669999997851,12500,,-12.499999999998511,12500
3,,1710.4189999809023,-1101.4099999997923,12500,,-12.499999999998511,12500
4,,1639.9249999958556,-1281.229999999785,12500,,-12.499999999998511,12500
5,,2154.359000007389,-1339.1719999997724,12500,,-12.499999999998511,12500
6,,1811.9940000178758,-987.5239999998277,12500,,-12.499999999998511,12500
7,,2257.7710000041407,-1211.299999999803,12500,,-12.499999999998511,12500
8,,2097.9309999966063,-1014.4969999998166,12500,,-12.499999999998511,12500
9,yes,535.9730000200216,-319.8800000000043,3198,,-12.499999999998511,12500
10,yes,621.077999996487,-249.86100000000883,4108,,-12.499999999998511,12500
11,yes,643.3470000047237,-372.9419999999964,3313,,-12.499999999998511,12500
12,yes,556.8520000088029,-389.7269999999804,4114,,-12.499999999998511,12500
13,yes,1153.1189999950584,-749.6039999999148,7348,,-12.499999999998511,12500
14,,2261.2779999908525,-1057.453999999804,12500,,-12.499999999998511,12500
15,,2269.1289999929722,-1140.3709999998005,12500,,-12.499999999998511,12500
16,yes,703.5160000086762,-320.85899999999333,3178,,-12.499999999998511,12500
17,yes,492.52199998591095,-287.03300000001013,3318,,-12.499999999998511,12500
18,yes,981.8849999865051,-429.4629999999594,5888,,-12.499999999998511,12500
19,yes,352.004999993369,-117.21900000000426,2335,,-12.499999999998511,12500
20,yes,1335.389000014402,-644.4989999998982,8137,,-12.499999999998511,12500
21,yes,427.9720000049565,-200.7420000000099,2941,,-12.499999999998511,12500
22,yes,503.79200000315905,-197.36100000000854,2557,,-12.499999999998511,12500
23,yes,229.81599997729063,-147.97700000000236,1125,,-12.499999999998511,12500
24,yes,603.4930000023451,-297.4189999999919,3714,,-12.499999999998511,12500
25,yes,179.6979999926407,-76.85700000000021,934,,-12.499999999998511,12500
26,yes,589.6890000149142,-339.12599999998025,4462,,-12.499999999998511,12500
27,yes,225.88499999255873,-103.09200000000038,1195,,-12.499999999998511,12500
28,yes,682.6540000038221,-307.8149999999864,4120,,-12.499999999998511,12500
29,yes,969.8999999964144,-489.5519999999393,6037,,-12.499999999998511,12500
30,yes,317.45100000989623,-157.62200000000522,1779,,-12.499999999998511,12500
31,yes,930.1480000140145,-344.57199999998716,4913,,-12.499999999998511,12500
32,yes,561.7679999850225,-202.3130000000073,2514,,-12.499999999998511,12500
33,yes,245.30000000959262,-135.39500000000214,1530,,-12.499999999998511,12500
34,yes,276.73300000606105,-163.84100000000504,2004,,-12.499999999998511,12500
35,yes,155.43799998704344,-104.07500000000121,1179,,-12.499999999998511,12500
36,yes,871.2780000059865,-386.15599999998744,5538,,-12.499999999998511,12500
37,yes,339.2140000069048,-174.81200000000473,1986,,-12.499999999998511,12500
38,yes,538.9690000156406,-200.41800000000893,2617,,-12.499999999998511,12500
39,yes,610.4970000160392,-285.93300000000175,4216,,-12.499999999998511,12500
40,yes,264.402999979211,-177.74700000000365,1924,,-12.499999999998511,12500
41,yes,266.6299999982584,-119.377000000003,1496,,-12.499999999998511,12500
42,yes,500.7069999992382,-325.84799999999564,4171,,-12.499999999998511,12500
43,yes,486.0249999910593,-188.5080000000079,2695,,-12.499999999998511,12500
44,yes,727.3890000069514,-343.3459999999807,4686,,-12.499999999998511,12500
45,yes,246.37300000176765,-106.73700000000143,1843,,-12.499999999998511,12500
46,yes,357.4079999816604,-175.4730000000042,1648,,-12.499999999998511,12500
47,yes,420.1539999921806,-213.2230000000063,2435,,-12.499999999998511,12500
48,yes,433.44599998090416,-222.7620000000101,2983,,-12.499999999998511,12500
49,yes,642.0489999873098,-386.51899999999193,3903,,-12.499999999998511,12500
50,yes,271.36899999459274,-121.95100000000491,2072,,-12.499999999998511,12500
51,yes,136.35600000270642,-45.602999999999525,649,,-12.499999999998511,12500
52,yes,118.43299999600276,-38.639999999999965,679,,-12.499999999998511,12500
53,yes,316.525999980513,-97.56800000000086,1665,,-12.499999999998511,12500
54,yes,414.20200001448393,-184.7970000000059,1981,,-12.499999999998511,12500
55,yes,1217.6949999993667,-536.6759999999294,6208,,-12.499999999998511,12500
56,yes,337.3940000019502,-116.72000000000315,1836,,-12.499999999998511,12500
57,yes,630.103000003146,-235.6940000000094,2928,,-12.499999999998511,12500
58,yes,535.7800000056159,-275.4150000000028,2689,,-12.499999999998511,12500
59,yes,527.2800000093412,-271.17900000000776,3448,,-12.499999999998511,12500
60,yes,174.93300000205636,-81.9620000000001,1044,,-12.499999999998511,12500
61,yes,518.3510000060778,-268.9110000000076,3178,,-12.499999999998511,12500
