episode,train goal?,train time (ms),train reward,train step,val goal?,val reward,val step
1,,2039.6590000018477,-5626.880000000799,12500,,-12.499999999998511,12500
2,,3150.495999958366,-3864.6440000003913,12500,,-12.499999999998511,12500
3,,1622.1019999939017,-12.499999999998511,12500,,-12.499999999998511,12500
4,,1722.0629999646917,-12.499999999998511,12500,,-12.499999999998511,12500
5,,1747.522999998182,-12.499999999998511,12500,,-12.499999999998511,12500
6,,2075.7039999589324,-12.499999999998511,12500,,-12.499999999998511,12500
7,,2389.614999992773,-12.499999999998511,12500,,-12.499999999998511,12500
8,yes,743.1809999980032,-7.224999999999756,3230,,-12.499999999998511,12500
9,,2516.386999981478,-12.499999999998511,12500,,-12.499999999998511,12500
10,,2745.997999969404,-12.499999999998511,12500,,-12.499999999998511,12500
11,,2855.2159999962896,-12.499999999998511,12500,,-12.499999999998511,12500
12,,2953.8469999679364,-12.499999999998511,12500,,-12.499999999998511,12500
13,yes,3161.7360000382178,-14.807999999998895,11812,,-12.499999999998511,12500
14,yes,1383.5410000174306,-6.786000000000267,5788,,-12.499999999998511,12500
15,yes,1812.512999982573,-557.5519999999842,8103,,-12.499999999998511,12500
16,yes,944.0020000329241,-4.096999999999703,4098,,-12.499999999998511,12500
17,yes,2136.3799999817275,-9.623000000000106,9624,,-12.499999999998511,12500
18,yes,1074.3299999739975,-5.131000000000048,5132,,-12.499999999998511,12500
19,yes,1723.758000007365,-7.820000000000946,7821,,-12.499999999998511,12500
20,yes,892.558999999892,-4.304999999999772,4306,,-12.499999999998511,12500
21,yes,2011.0090000089258,-11.206999999999228,11208,,-12.499999999998511,12500
22,yes,1019.2099999985658,-4.0569999999996895,4058,,-12.499999999998511,12500
23,yes,1995.8089999854565,-9.040000000000429,9041,,-12.499999999998511,12500
24,yes,922.7119999704883,-3.938999999999677,3940,,-12.499999999998511,12500
25,yes,1193.5630000079982,-5.155000000000056,5156,,-12.499999999998511,12500
26,yes,1124.9689999967813,-4.732999999999915,4734,,-12.499999999998511,12500
27,yes,1526.2959999963641,-8.023000000000993,8024,,-12.499999999998511,12500
28,yes,923.5060000210069,-4.248999999999754,4250,,-12.499999999998511,12500
29,yes,1842.2240000218153,-9.025000000000437,9026,,-12.499999999998511,12500
30,yes,1033.1539999460801,-4.192999999999735,4194,,-12.499999999998511,12500
31,yes,1325.611000007484,-6.476000000000497,6477,,-12.499999999998511,12500
32,yes,890.6699999934062,-3.9109999999996803,3912,,-12.499999999998511,12500
33,yes,1226.9599999999627,-5.492000000000169,5493,,-12.499999999998511,12500
34,yes,1132.149999961257,-4.41699999999981,4418,,-12.499999999998511,12500
35,yes,1608.8849999941885,-7.675000000000898,7676,,-12.499999999998511,12500
36,yes,734.2449999996461,-3.4279999999997335,3429,,-12.499999999998511,12500
37,yes,1195.0469999574125,-5.442000000000152,5443,,-12.499999999998511,12500
38,yes,772.7890000096522,-3.2929999999997484,3294,,-12.499999999998511,12500
39,yes,1774.7090000193566,-8.66000000000064,8661,,-12.499999999998511,12500
40,yes,863.0479999701492,-3.958999999999675,3960,,-12.499999999998511,12500
41,yes,1084.0570000000298,-4.714999999999909,4716,,-12.499999999998511,12500
42,yes,979.7130000079051,-4.0689999999996935,4070,,-12.499999999998511,12500
43,yes,1732.2179999900982,-7.962000000000994,7963,,-12.499999999998511,12500
44,yes,677.6599999866448,-2.8209999999998003,2822,,-12.499999999998511,12500
45,yes,1066.1759999929927,-4.694999999999903,4696,,-12.499999999998511,12500
46,yes,911.4849999896251,-3.769999999999696,3771,,-12.499999999998511,12500
