episode,train goal?,train time (ms),train reward,train step,val goal?,val reward,val step
1,yes,0.21800000000382624,-0.001,2,,-100.02500000000003,125
2,yes,0.6829999999951042,-0.011000000000000003,12,,-102.02300000000004,125
3,yes,1.0120000000028995,-10.009,20,,-107.018,125
4,yes,5.959000000004266,-45.03199999999996,78,yes,-0.001,2
5,yes,2.1969999999953416,-21.021999999999995,44,yes,-0.001,2
6,yes,0.7090000000005148,-10.002999999999998,14,yes,-0.001,2
7,yes,1.7880000000047858,-14.020999999999997,36,yes,-0.001,2
8,yes,4.165000000000418,-56.023999999999965,81,yes,-0.001,2
9,yes,0.5719999999911352,-1.0019999999999998,4,yes,-0.001,2
10,yes,2.0019999999902893,-21.009000000000004,31,yes,-0.001,2
11,yes,0.17099999999459214,-0.001,2,yes,-0.001,2
12,yes,1.1410000000040554,-13.009999999999996,24,yes,-0.001,2
13,yes,2.3589999999984457,-28.020000000000007,49,yes,-0.001,2
14,yes,2.0260000000007494,-28.011999999999997,41,yes,-0.001,2
15,yes,5.555000000001087,-33.025,59,yes,-0.001,2
16,yes,1.9290000000040664,-26.013000000000005,40,yes,-0.001,2
17,yes,2.7719999999931133,-39.01999999999998,60,yes,-0.001,2
18,yes,0.2649999999988495,-2.001,4,yes,-0.001,2
19,yes,0.40999999998803105,-3.0029999999999997,7,yes,-0.001,2
20,yes,0.34800000000245745,-3.002,6,yes,-0.001,2
21,yes,0.1560000000040418,-0.001,2,yes,-0.001,2
22,yes,0.821000000001959,-12.001999999999999,15,yes,-0.001,2
23,yes,0.7039999999989277,-4.008000000000001,13,yes,-0.001,2
24,yes,0.4619999999988522,-6.0009999999999994,8,yes,-0.001,2
25,yes,0.358999999988896,-0.005,6,yes,-0.001,2
26,yes,1.2350000000083128,-11.012999999999993,25,yes,-0.001,2
27,yes,0.26299999998968815,-0.003,4,yes,-0.001,2
28,yes,1.239999999995689,-17.007999999999996,26,yes,-0.001,2
29,yes,0.19700000000000273,-0.001,2,yes,-0.001,2
30,yes,1.8620000000026948,-23.011000000000003,35,yes,-0.001,2
31,yes,0.37700000000029377,-0.005,6,yes,-0.001,2
32,yes,0.7979999999889742,-2.0049999999999994,8,yes,-0.001,2
33,yes,1.079000000004271,-7.002,10,yes,-0.001,2
34,yes,2.329000000003134,-18.021999999999995,41,yes,-0.001,2
35,yes,1.4529999999979282,-19.006999999999998,27,yes,-0.001,2
36,yes,0.28399999999351166,-0.003,4,yes,-0.001,2
37,yes,1.30500000000211,-11.012999999999998,25,yes,-0.001,2
38,yes,0.3600000000005821,-1.0019999999999998,4,yes,-0.001,2
39,yes,5.707999999998492,-47.02199999999997,70,yes,-0.001,2
40,yes,1.986999999999739,-18.01900000000001,38,yes,-0.001,2
41,,6.193000000010329,-77.04799999999994,125,yes,-0.001,2
42,yes,0.4390000000000782,-2.0049999999999994,8,yes,-0.001,2
43,yes,0.24299999999755073,-2.001,4,yes,-0.001,2
44,yes,2.4060000000076798,-16.028000000000002,45,yes,-0.001,2
45,yes,0.21499999999718966,-0.001,2,yes,-0.001,2
46,yes,1.0869999999982838,-10.007999999999997,19,yes,-0.001,2
47,yes,2.264000000010924,-23.02000000000001,44,yes,-0.001,2
48,yes,2.7540000000101372,-37.018999999999984,57,yes,-0.001,2
49,yes,0.6230000000044811,-5.0040000000000004,10,yes,-0.001,2
50,yes,1.7309999999923775,-13.014999999999995,29,yes,-0.001,2
51,yes,1.7369999999914398,-10.004999999999999,16,yes,-0.001,2
52,yes,3.175999999996293,-10.011,22,yes,-0.001,2
53,yes,0.6460000000032551,-7.0040000000000004,12,yes,-0.001,2
54,yes,0.9629999999987149,-5.014000000000001,20,yes,-0.001,2
55,yes,0.26099999999473766,-1.0019999999999998,4,yes,-0.001,2
56,yes,2.0209999999991624,-30.009000000000004,40,yes,-0.001,2
57,yes,1.4469999999988659,-7.019000000000001,27,yes,-0.001,2
58,yes,2.4750000000040018,-28.01800000000001,47,yes,-0.001,2
59,yes,0.42299999999784177,-0.005,6,yes,-0.001,2
60,yes,0.5859999999984211,-2.0069999999999997,10,yes,-0.001,2
61,yes,0.2939999999966858,-1.0019999999999998,4,yes,-0.001,2
62,yes,1.4809999999982892,-16.009999999999998,27,yes,-0.001,2
63,yes,2.0799999999923102,-9.031999999999993,42,yes,-0.001,2
64,yes,6.89400000000262,-41.06999999999996,112,yes,-0.001,2
65,yes,0.9829999999908523,-7.009000000000003,17,yes,-0.001,2
66,yes,0.7849999999933743,-5.0070000000000014,13,yes,-0.001,2
67,yes,2.769999999998163,-16.008999999999997,26,yes,-0.001,2
68,yes,2.9380000000003292,-30.028000000000016,59,yes,-0.001,2
69,yes,0.9549999999904912,-9.006999999999996,17,yes,-0.001,2
70,yes,1.0849999999891224,-12.007999999999997,21,yes,-0.001,2
71,yes,0.23699999999848842,-0.001,2,yes,-0.001,2
72,yes,0.17499999999870397,-0.001,2,yes,-0.001,2
