episode,train goal?,train time (ms),train reward,train step,val goal?,val reward,val step
1,,19.169814982593678,-107.01800000000001,125,,-124.001,125
2,yes,11.436574458099331,-46.02799999999996,75,,-125,125
3,yes,2.131586387331963,-9.003,13,yes,-5,6
4,yes,31.00667421205014,-99.011,111,yes,-1,2
5,yes,6.474536196846819,-27.006000000000004,34,yes,-1,2
6,yes,6.810906033849706,-11.008,20,yes,-1,2
7,yes,1.7975492121667935,-2.002,5,yes,-1,2
8,yes,7.946445816464309,-18.012999999999998,32,yes,-1,2
9,yes,1.802681068209827,-1.0029999999999997,5,yes,-1,2
10,yes,0.38348960612538674,0,1,yes,-1,2
11,yes,3.1448946896486807,-6.006,13,yes,-1,2
12,yes,2.4716884832752806,-18,19,yes,-1,2
13,yes,3.934267455541818,-13.017999999999995,32,yes,-1,2
14,yes,1.9967585331102655,-4.005999999999999,11,yes,-1,2
15,yes,1.668319746355701,-7.003,11,yes,-1,2
16,yes,1.4513821954453554,-2.0049999999999994,8,yes,-1,2
17,yes,3.7000682070321145,-23.007,31,yes,-1,2
18,yes,0.8509550384095954,-4,5,yes,-1,2
19,yes,1.0240385467703284,-2.002,5,yes,-1,2
20,yes,0.7959042190388288,-3,4,yes,-1,2
21,yes,3.395889103390115,-11.009000000000002,21,yes,-1,2
22,yes,1.0459655680451485,-5,6,yes,-1,2
23,yes,1.0221724173001268,-2.002,5,yes,-1,2
24,yes,2.092864200825384,-5.014000000000001,20,yes,-1,2
25,yes,2.4665566272322472,-6.0100000000000025,17,yes,-1,2
26,yes,2.053208949583718,-6.006000000000001,13,yes,-1,2
27,yes,0.9983792665551328,-4,5,yes,-1,2
28,yes,1.0403671796345437,-2.002,5,yes,-1,2
29,yes,2.89436680827479,-16.009999999999998,27,yes,-1,2
30,yes,1.2288462561244051,-5.0009999999999994,7,yes,-1,2
31,yes,3.3632318376616563,-12.006,19,yes,-1,2
32,yes,0.22393553642358066,0,1,yes,-1,2
33,yes,1.0067768491710538,-4,5,yes,-1,2
34,yes,0.6246868401482697,-2,3,yes,-1,2
35,yes,1.8236750247495603,-10,11,yes,-1,2
36,yes,1.2260470619190889,-2.0039999999999996,7,yes,-1,2
37,yes,0.6148896604297183,-2,3,yes,-1,2
