episode,train goal?,train time (ms),train reward,train step,val goal?,val reward,val step
1,yes,1.7354979772790102,-35.012,48,,-0.12500000000000008,125
2,yes,0.6200206498760963,-3.007999999999999,12,,-62.062999999999946,125
3,yes,1.782617682692944,-31.018000000000008,50,,-0.12500000000000008,125
4,yes,0.8019680171855725,-2.017,20,,-0.12500000000000008,125
5,yes,0.7137935226637637,-3.012999999999999,17,,-0.12500000000000008,125
6,yes,0.2911157898779493,-1,2,,-0.12500000000000008,125
7,yes,0.41381363007531036,-5.001,7,,-0.12500000000000008,125
8,yes,0.5528400815819623,-1.0079999999999993,10,yes,-0.005,6
9,yes,0.6498786788142752,-3.01,14,yes,-0.005,6
10,yes,0.4819272598979296,-2.0059999999999993,9,yes,-0.005,6
11,yes,0.6368157901306404,-5.009,15,yes,-0.005,6
12,yes,0.6550105263158912,-3.0119999999999987,16,yes,-0.005,6
13,yes,0.8229619452322368,-13.009999999999998,24,yes,-0.005,6
14,yes,0.5131848865858046,-3.0079999999999996,12,yes,-0.005,6
15,yes,0.4921909585391404,-2.0069999999999997,10,yes,-0.005,6
16,yes,0.39048704456945416,-2.003,6,yes,-0.005,6
17,yes,0.5938948725088267,-1.0079999999999998,10,yes,-0.005,6
18,yes,0.4646655888791429,-3.0049999999999994,9,yes,-0.005,6
19,yes,0.7735095841781003,-7.012000000000004,20,yes,-0.005,6
20,yes,0.6410145761037711,-5.009,15,yes,-0.005,6
21,yes,0.5575053983193357,-3.0079999999999996,12,yes,-0.005,6
22,yes,0.593428341744584,-6.0070000000000014,14,yes,-0.005,6
23,yes,0.5346453453967115,-3.0059999999999993,10,yes,-0.005,6
24,yes,0.6643411616096273,-3.0109999999999992,15,yes,-0.005,6
25,yes,0.38022334774723276,-0.005,6,yes,-0.005,6
26,yes,0.890609042471624,-6.009000000000001,16,yes,-0.005,6
27,yes,0.6088238878874108,-1.0039999999999998,6,yes,-0.005,6
28,yes,0.7226576271932572,-3.007999999999999,12,yes,-0.005,6
29,yes,0.7819071543053724,-9.009,19,yes,-0.005,6
30,yes,0.5192497992538847,-1.0079999999999991,10,yes,-0.005,6
31,yes,0.5089861006126739,-6.003000000000001,10,yes,-0.005,6
32,yes,0.4105479092686437,-0.005,6,yes,-0.005,6
33,yes,0.370426181689254,-1.0019999999999998,4,yes,-0.005,6
34,yes,0.5173836725589354,-4.006000000000002,11,yes,-0.005,6
35,yes,0.5449090440379223,-5.006,12,yes,-0.005,6
36,yes,0.6083573553041788,-3.0099999999999993,14,yes,-0.005,6
37,yes,0.5309130920068128,-3.0059999999999993,10,yes,-0.005,6
38,yes,0.5892295539524639,-3.007999999999999,12,yes,-0.005,6
39,yes,1.3585403521574335,-12.027999999999993,41,yes,-0.005,6
40,yes,0.5864303639100399,-6.006000000000001,13,yes,-0.005,6
41,yes,0.29997989258845337,-1,2,yes,-0.005,6
42,yes,0.3363693667779444,-1.0019999999999998,4,yes,-0.005,6
43,yes,0.39328623461187817,-4.0009999999999994,6,yes,-0.005,6
44,yes,0.5831646431033732,-3.0079999999999996,12,yes,-0.005,6
