episode,train goal?,train time (ms),train reward,train step,val goal?,val reward,val step
1,yes,2.4169999999994474,-63.028999999999975,93,,-110.01500000000001,125
2,yes,0.4089999999994376,-4.007,12,,-111.01400000000001,125
3,yes,0.7739999999998304,-24.002,27,yes,-20.016,37
4,yes,0.280000000000058,-6.0009999999999994,8,,-62.062999999999946,125
5,yes,0.2409999999999357,-2.003,6,,-50.074999999999946,125
6,yes,0.45499999999965013,-6.008000000000002,15,,-41.08399999999999,125
7,yes,1.0349999999998971,-16.02199999999999,39,yes,-1.0039999999999998,6
8,yes,0.41099999999971715,-4.007999999999999,13,yes,-0.003,4
9,yes,0.47499999999978115,-6.0089999999999995,16,yes,-0.003,4
10,yes,0.524000000000413,-7.010000000000001,18,yes,-0.003,4
11,yes,0.3860000000006636,-7.004,12,yes,-0.003,4
12,yes,0.24599999999974642,-2.003,6,yes,-0.003,4
13,yes,0.3280000000005501,-2.0069999999999992,10,yes,-0.003,4
14,yes,0.3279999999996619,-5.004000000000001,10,yes,-0.003,4
15,yes,0.3539999999997434,-5.005000000000001,11,yes,-0.003,4
16,yes,0.17300000000020077,-0.003,4,yes,-0.003,4
17,yes,0.20600000000037255,-3.001,5,yes,-0.003,4
18,yes,0.4499999999998394,-6.008000000000001,15,yes,-0.003,4
19,yes,0.256000000000256,-2.004,7,yes,-0.003,4
20,yes,0.22499999999947562,-1.0039999999999996,6,yes,-0.003,4
21,yes,0.43199999999998795,-4.0089999999999995,14,yes,-0.003,4
22,yes,0.7049999999999557,-13.010999999999997,25,yes,-0.003,4
23,yes,0.17800000000001148,-1.002,4,yes,-0.003,4
24,yes,0.1550000000003493,-1.001,3,yes,-0.003,4
25,yes,0.4249999999998977,-9.004,14,yes,-0.003,4
26,yes,0.1230000000003173,-1,2,yes,-0.003,4
27,yes,0.5140000000007916,-10.004999999999999,16,yes,-0.003,4
28,yes,0.1769999999998717,-3,4,yes,-0.003,4
29,yes,0.2830000000004773,-5.002,8,yes,-0.003,4
30,yes,0.17300000000020077,-0.003,4,yes,-0.003,4
31,yes,0.17900000000015126,-1.002,4,yes,-0.003,4
32,yes,0.2990000000000492,-3.0049999999999994,9,yes,-0.003,4
33,yes,0.3530000000004918,-10,11,yes,-0.003,4
34,yes,0.22900000000003473,-0.005,6,yes,-0.003,4
35,yes,0.17500000000048033,-0.003,4,yes,-0.003,4
36,yes,0.12200000000017752,-1,2,yes,-0.003,4
37,yes,0.172000000000061,-2.001,4,yes,-0.003,4
38,yes,0.15300000000006975,-1.001,3,yes,-0.003,4
39,yes,0.1499999999996504,-2,3,yes,-0.003,4
40,yes,0.4339999999993793,-5.008000000000001,14,yes,-0.003,4
41,yes,0.332000000000221,-5.0040000000000004,10,yes,-0.003,4
42,yes,0.19200000000019202,-2,3,yes,-0.003,4
43,yes,0.18399999999996197,-1,2,yes,-0.003,4
44,yes,0.7149999999995771,-7.009999999999999,18,yes,-0.003,4
45,yes,0.22900000000003473,-1.0029999999999997,5,yes,-0.003,4
46,yes,0.2149999999998542,-1.003,5,yes,-0.003,4
47,yes,0.1289999999993796,-1,2,yes,-0.003,4
48,yes,0.17899999999926308,-0.003,4,yes,-0.003,4
49,yes,0.15700000000062886,-2,3,yes,-0.003,4
50,yes,0.12699999999998823,-1,2,yes,-0.003,4
51,yes,0.40599999999990644,-7.005000000000002,13,yes,-0.003,4
52,yes,0.17800000000001148,-0.003,4,yes,-0.003,4
53,yes,0.4459999999992803,-4.005999999999999,11,yes,-0.003,4
54,yes,0.3710000000003433,-0.004,5,yes,-0.003,4
55,yes,0.5150000000000432,-1.003,5,yes,-0.003,4
56,yes,0.46899999999983066,-4.009999999999999,15,yes,-0.003,4
57,yes,0.21199999999943486,-0.004,5,yes,-0.003,4
58,yes,0.35100000000021225,-8.002,11,yes,-0.003,4
59,yes,0.20600000000037255,-2.002,5,yes,-0.003,4
60,yes,0.1299999999995194,-1,2,yes,-0.003,4
61,yes,0.4770000000000607,-5.010000000000001,16,yes,-0.003,4
62,yes,0.3109999999999502,-4.003,8,yes,-0.003,4
63,yes,0.24999999999941735,-1.0049999999999994,7,yes,-0.003,4
64,yes,0.300000000000189,-4.004,9,yes,-0.003,4
65,yes,0.2259999999996154,-0.005,6,yes,-0.003,4
66,yes,0.6409999999998917,-6.016000000000001,23,yes,-0.003,4
67,yes,0.22099999999980469,-0.005,6,yes,-0.003,4
68,yes,0.17099999999992122,-2.001,4,yes,-0.003,4
69,yes,0.25099999999955713,-3.0029999999999997,7,yes,-0.003,4
70,yes,0.28700000000014825,-4.003,8,yes,-0.003,4
71,yes,0.3969999999995366,-6.006000000000001,13,yes,-0.003,4
72,yes,0.14700000000011926,-2,3,yes,-0.003,4
73,yes,0.5509999999997461,-4.006,11,yes,-0.003,4
74,yes,0.2429999999993271,-0.003,4,yes,-0.003,4
75,yes,0.2519999999996969,-0.003,4,yes,-0.003,4
76,yes,0.16299999999969117,-1,2,yes,-0.003,4
77,yes,0.21899999999952513,-1.001,3,yes,-0.003,4
78,yes,0.2409999999999357,-1.0049999999999997,7,yes,-0.003,4
79,yes,0.1449999999998397,-0.003,4,yes,-0.003,4
80,yes,0.2579999999996474,-3.004,8,yes,-0.003,4
81,yes,0.12500000000059686,-2,3,yes,-0.003,4
82,yes,0.10799999999999699,-1,2,yes,-0.003,4
83,yes,0.3399999999995629,-5.005,11,yes,-0.003,4
84,yes,0.236000000000125,-1.005,7,yes,-0.003,4
85,yes,0.09999999999976694,-1,2,yes,-0.003,4
86,yes,0.5329999999998947,-8.009,18,yes,-0.003,4
87,yes,0.36199999999997345,-4.007,12,yes,-0.003,4
88,yes,0.3019999999995804,-2.0069999999999992,10,yes,-0.003,4
89,yes,0.23800000000040455,-1.005,7,yes,-0.003,4
90,yes,0.26100000000006673,-1.006,8,yes,-0.003,4
91,yes,0.16000000000016001,-0.003,4,yes,-0.003,4
92,yes,0.18599999999935335,-2.002,5,yes,-0.003,4
93,yes,0.2839999999997289,-3.0049999999999994,9,yes,-0.003,4
94,yes,0.21000000000004349,-4.0009999999999994,6,yes,-0.003,4
95,yes,0.28199999999944936,-3.0039999999999996,8,yes,-0.003,4
96,yes,0.2300000000001745,-1.0039999999999996,6,yes,-0.003,4
97,yes,0.27199999999982793,-1.0039999999999996,6,yes,-0.003,4
98,yes,0.44799999999955986,-6.008000000000002,15,yes,-0.003,4
99,yes,0.2729999999999677,-6.001,8,yes,-0.003,4
100,yes,0.3500000000000725,-3.0069999999999992,11,yes,-0.003,4
101,yes,0.204000000000093,-1.003,5,yes,-0.003,4
102,yes,0.3509999999993241,-4.005999999999999,11,yes,-0.003,4
103,yes,0.17599999999973193,-2.001,4,yes,-0.003,4
104,yes,0.708000000000375,-10.003999999999998,15,yes,-0.003,4
105,yes,0.636000000000081,-4.007,12,yes,-0.003,4
106,yes,0.36699999999978417,-0.003,4,yes,-0.003,4
107,yes,0.20199999999981344,-2.001,4,yes,-0.003,4
108,yes,0.13000000000040757,-1,2,yes,-0.003,4
109,yes,0.45899999999932106,-6.008000000000002,15,yes,-0.003,4
110,yes,0.3380000000001715,-1.005,7,yes,-0.003,4
111,yes,0.2900000000005676,-3.0039999999999996,8,yes,-0.003,4
112,yes,0.15699999999974068,-2,3,yes,-0.003,4
113,yes,0.2890000000004278,-0.007,8,yes,-0.003,4
114,yes,0.21000000000004349,-0.004,5,yes,-0.003,4
115,yes,0.23400000000073362,-1.0039999999999998,6,yes,-0.003,4
116,yes,0.25999999999992696,-3.0029999999999997,7,yes,-0.003,4
117,yes,0.18500000000010175,-0.003,4,yes,-0.003,4
118,yes,0.23499999999998522,-3.002,6,yes,-0.003,4
119,yes,0.9090000000000487,-10.008,19,yes,-0.003,4
120,yes,0.9170000000002787,-5.008000000000001,14,yes,-0.003,4
121,yes,0.3180000000000405,-4.004,9,yes,-0.003,4
122,yes,0.3599999999996939,-3.0049999999999994,9,yes,-0.003,4
123,yes,0.5050000000004218,-10.006,17,yes,-0.003,4
124,yes,0.5690000000004858,-5.013,19,yes,-0.003,4
125,yes,0.4569999999999297,-9.005,15,yes,-0.003,4
126,yes,0.4179999999998074,-6.0040000000000004,11,yes,-0.003,4
127,yes,0.3379999999992833,-4.006,11,yes,-0.003,4
128,yes,0.16499999999997073,-0.003,4,yes,-0.003,4
129,yes,0.19200000000019202,-1.003,5,yes,-0.003,4
130,yes,0.1389999999998892,-1.001,3,yes,-0.003,4
131,yes,0.2670000000000172,-3.0039999999999996,8,yes,-0.003,4
132,yes,0.30299999999972016,-3.0049999999999994,9,yes,-0.003,4
133,yes,0.13699999999960966,-2,3,yes,-0.003,4
134,yes,0.11099999999952814,-1,2,yes,-0.003,4
135,yes,0.31200000000009,-3.006,10,yes,-0.003,4
136,yes,0.2639999999995979,-3.0039999999999996,8,yes,-0.003,4
137,yes,0.2949999999994901,-4.004,9,yes,-0.003,4
138,yes,0.13799999999974943,-2,3,yes,-0.003,4
139,yes,0.5269999999999442,-11.006999999999998,19,yes,-0.003,4
140,yes,0.17900000000015126,-1.0019999999999998,4,yes,-0.003,4
141,yes,0.24599999999974642,-3.0029999999999997,7,yes,-0.003,4
142,yes,0.2670000000000172,-2.0049999999999994,8,yes,-0.003,4
143,yes,0.5340000000000344,-11.006999999999998,19,yes,-0.003,4
144,yes,0.16800000000039006,-0.003,4,yes,-0.003,4
145,yes,0.16399999999983095,-0.003,4,yes,-0.003,4
146,yes,0.1930000000003318,-3.001,5,yes,-0.003,4
147,yes,0.16400000000071913,-3,4,yes,-0.003,4
148,yes,0.140000000000029,-1.001,3,yes,-0.003,4
149,yes,0.16399999999983095,-3,4,yes,-0.003,4
150,yes,0.5220000000001335,-9.007,17,yes,-0.003,4
151,yes,0.11300000000069588,-1,2,yes,-0.003,4
152,yes,0.2410000000008239,-0.006,7,yes,-0.003,4
153,yes,0.2620000000002065,-2.0039999999999996,7,yes,-0.003,4
154,yes,0.21799999999938535,-0.005,6,yes,-0.003,4
155,yes,0.11600000000022703,-1,2,yes,-0.003,4
156,yes,0.1930000000003318,-1.0029999999999997,5,yes,-0.003,4
157,yes,0.2420000000000755,-2.0039999999999996,7,yes,-0.003,4
158,yes,0.16000000000016001,-0.003,4,yes,-0.003,4
159,yes,0.11500000000008725,-1,2,yes,-0.003,4
160,yes,0.288000000000288,-1.0059999999999996,8,yes,-0.003,4
161,yes,0.14200000000030855,-2,3,yes,-0.003,4
162,yes,0.41699999999966764,-6.007,14,yes,-0.003,4
163,yes,0.23899999999965615,-3.0029999999999997,7,yes,-0.003,4
164,yes,0.29199999999995896,-2.0059999999999993,9,yes,-0.003,4
165,yes,0.2199999999996649,-2.003,6,yes,-0.003,4
166,yes,0.47999999999959186,-9.007,17,yes,-0.003,4
167,yes,0.29799999999990945,-3.0049999999999994,9,yes,-0.003,4
168,yes,0.2140000000006026,-0.005,6,yes,-0.003,4
169,yes,0.5009999999998627,-0.004,5,yes,-0.003,4
170,yes,0.2589999999997872,-2,3,yes,-0.003,4
171,yes,0.6339999999998014,-0.006,7,yes,-0.003,4
172,yes,0.2089999999999037,-3.001,5,yes,-0.003,4
173,yes,0.3389999999994231,-3.0069999999999992,11,yes,-0.003,4
174,yes,0.16900000000052984,-1.002,4,yes,-0.003,4
175,yes,0.2950000000003783,-2.0059999999999993,9,yes,-0.003,4
176,yes,0.5099999999993443,-7.010000000000002,18,yes,-0.003,4
177,yes,0.140000000000029,-2,3,yes,-0.003,4
178,yes,0.28500000000075687,-6.002,9,yes,-0.003,4
179,yes,0.3370000000000317,-4.006000000000001,11,yes,-0.003,4
180,yes,0.2420000000000755,-1.005,7,yes,-0.003,4
181,yes,0.40900000000032577,-5.008,14,yes,-0.003,4
182,yes,0.16400000000071913,-0.003,4,yes,-0.003,4
183,yes,0.23999999999979593,-1.0039999999999996,6,yes,-0.003,4
